Entity,Code,Year,Oil Production - TWh
Non-OECD,,2019,36685.11334132
Non-OECD,,2020,33538.35859717
North America,,1965,5694.309833168
North America,,1966,6062.027676747
North America,,1967,6482.405359019001
North America,,1968,6767.500882094
North America,,1969,6937.699442554001
North America,,1970,7300.578344350001
North America,,1971,7270.598496623001
North America,,1972,7439.695348346
North America,,1973,7452.809723625
North America,,1974,7189.771175905001
North America,,1975,6879.155413502001
North America,,1976,6722.8169939300005
North America,,1977,6893.61040563
North America,,1978,7281.401616416
North America,,1979,7488.857140062001
North America,,1980,7799.668605127
North America,,1981,7933.446864601
North America,,1982,8214.27444284
North America,,1983,8241.572645167002
North America,,1984,8469.704523608001
North America,,1985,8492.74034838
North America,,1986,8198.536708232
North America,,1987,8147.860492806
North America,,1988,8104.340357103
North America,,1989,7730.679542819001
North America,,1990,7612.344394000001
North America,,1991,7779.638595723001
North America,,1992,7713.287361627
North America,,1993,7589.324299966
North America,,1994,7540.478945431001
North America,,1995,7509.181551286
North America,,1996,7674.301617549001
North America,,1997,7795.282932127001
North America,,1998,7753.623635966
North America,,1999,7432.906347476
North America,,2000,7477.957270299
North America,,2001,7519.327900556
North America,,2002,7591.227010997
North America,,2003,7691.886664846001
North America,,2004,7682.288267678
North America,,2005,7421.782683949001
North America,,2006,7420.483625742
North America,,2007,7360.395816534
North America,,2008,7121.72815711
North America,,2009,7238.547148186
North America,,2010,7435.942981181001
North America,,2011,7684.226422297
North America,,2012,8395.569403781
North America,,2013,9138.486424546
North America,,2014,10134.394640647
North America,,2015,10594.729732563
North America,,2016,10270.975920853
North America,,2017,10710.685182183
North America,,2018,11982.10566994
North America,,2019,12865.382852150002
North America,,2020,12327.43251526
Norway,NOR,1971,3.4050401108700004
Norway,NOR,1972,18.77902940766
Norway,NOR,1973,18.16021390138
Norway,NOR,1974,19.862733962630003
Norway,NOR,1975,107.25876337029
Norway,NOR,1976,158.76815777640002
Norway,NOR,1977,162.87441839820002
Norway,NOR,1978,202.0323796325
Norway,NOR,1979,226.7794158555
Norway,NOR,1980,291.3272010868
Norway,NOR,1981,282.5199224573
Norway,NOR,1982,293.4425344527
Norway,NOR,1983,365.1545707613
Norway,NOR,1984,418.15393695360007
Norway,NOR,1985,456.021849393
Norway,NOR,1986,500.4859981273
Norway,NOR,1987,582.8406765109
Norway,NOR,1988,662.6720749719
Norway,NOR,1989,871.1927146066001
Norway,NOR,1990,955.3236888287
Norway,NOR,1991,1091.385308187
Norway,NOR,1992,1243.255171238
Norway,NOR,1993,1327.312623275
Norway,NOR,1994,1495.419838756
Norway,NOR,1995,1609.5883632990003
Norway,NOR,1996,1798.745441492
Norway,NOR,1997,1816.930829389
Norway,NOR,1998,1739.850450441
Norway,NOR,1999,1740.705146119
Norway,NOR,2000,1861.656804197
Norway,NOR,2001,1881.280664926
Norway,NOR,2002,1830.090140662
Norway,NOR,2003,1783.96204375
Norway,NOR,2004,1747.089167129
Norway,NOR,2005,1609.9893156900002
Norway,NOR,2006,1498.548328527
Norway,NOR,2007,1377.3875863090002
Norway,NOR,2008,1331.098609281
Norway,NOR,2009,1260.4038272080002
Norway,NOR,2010,1146.6088145362
Norway,NOR,2011,1085.8438861431
Norway,NOR,2012,1012.3335787621
Norway,NOR,2013,964.476712937
Norway,NOR,2014,988.1589070578
Norway,NOR,2015,1019.2127570239
Norway,NOR,2016,1050.2670938218
Norway,NOR,2017,1033.4049223167
Norway,NOR,2018,968.9926661274
Norway,NOR,2019,913.4818074827
Norway,NOR,2020,1069.6292023276
OECD,,1965,6120.387217946
OECD,,1966,6484.575626341
OECD,,1967,6911.9702691130005
OECD,,1968,7203.287721236
OECD,,1969,7402.635987001
OECD,,1970,7839.485017303001
OECD,,1971,7875.826912318001
OECD,,1972,8050.850060815001
OECD,,1973,8103.623740926
OECD,,1974,7830.503781204
OECD,,1975,7623.916342855
OECD,,1976,7634.671230712001
OECD,,1977,8116.044463463001
OECD,,1978,8717.887013998
OECD,,1979,9226.320155028
OECD,,1980,9618.139205811
OECD,,1981,9853.358956351
OECD,,1982,10336.908274913
OECD,,1983,10605.73425837
OECD,,1984,11103.009993754002
OECD,,1985,11260.572138208
OECD,,1986,11063.055918431
OECD,,1987,11138.457180076
OECD,,1988,11058.936474739
OECD,,1989,10622.974347074
